id,value
دستگاه.راست پنجگاه,
دستگاه.راست پنجگاه.درآمد,
دستگاه.راست پنجگاه.درآمد دوم زنگ شتر,
دستگاه.راست پنجگاه.زنگوله,
دستگاه.راست پنجگاه.نغمه,
دستگاه.راست پنجگاه.خسروانی,
دستگاه.راست پنجگاه.روح افزا,
دستگاه.راست پنجگاه.پنج‌گاه,
دستگاه.راست پنجگاه.سپهر,
دستگاه.راست پنجگاه.عشاق,
دستگاه.راست پنجگاه.نیریز,
دستگاه.راست پنجگاه.بیات‌عجم,
دستگاه.راست پنجگاه.بحر نور,
دستگاه.راست پنجگاه.قرچه,
دستگاه.راست پنجگاه.مبرقع,
دستگاه.راست پنجگاه.طرز,
دستگاه.راست پنجگاه.ابوالچپ,
دستگاه.راست پنجگاه.لیلی و مجنون,
دستگاه.راست پنجگاه.راوندی,
دستگاه.راست پنجگاه.نوروز عرب,
دستگاه.راست پنجگاه.نوروز صبا,
دستگاه.راست پنجگاه.نوروز خارا,
دستگاه.راست پنجگاه.ماورا‌النهر,
دستگاه.راست پنجگاه.نفیر,
دستگاه.راست پنجگاه.فرنگ,
